"","X..i..","freq"
"692","Auszubildende,r (Mechatroniker,in)",12
"693","Warenhausdetektiv,in",2
"694","Vertriebsberater,in",3
"695","Polizeivollzugsbeamter,beamtin",6
"696","Installations- und Montageberufe",1
"697","Psychotherapeut,in",17
"698","Immobilienkaufmann,frau",24
"699","Tätowierer,in",2
"700","Medizintechniker,in",1
"701","Verwaltungswirt,in",6
"702","Möbelpacker,in",2
"703","Betriebsinhaber,in",2
"704","Justizsekretär,in",2
"705","Bautischler,in",1
"706","Reiseverkehrskaufmann,frau",3
"707","Schlachter,in",1
"708","Betriebswirtschaftliche,r Berater,in",10
"709","Kommissionierer,in",14
"710","Student,in (Humanbiologie)",5
"711","Lacktechniker,in",2
"712","Prüfingenieur,in",1
"713","Dreher,in",17
"714","Inbetriebhaltungstechniker,in",6
"715","Sport und Fitnesskaufmann,frau",10
"716","Weinküfer,in",2
"717","Diplom-Ingenieur,in Nahrungsmitteltechnologie",2
"718","Polizeiverwaltungsangestellte,r",2
"719","Abwassermeister,in",1
"720","Solotänzer,in",1
"721","Berufsberater,in",1
"722","Fliesenleger,in",3
"723","Dispatcher",3
"724","Händler,in",1
"725","Versicherungsberater,in",3
"726","Bewährungshelfer,in",2
"727","Medizinische,r Bademeister,in",5
"728","ADAC-Straßenwachtfahrer,in",2
"729","Verfahrensmechaniker,in (Metallerzeugung)",1
"730","Vorarbeiter,in",19
"731","Verfahrensingenieur,in",11
"732","Politologe,Politologin",2
"733","Diplom-Ingenieur,in Fahrzeugtechnik",4
"734","Student,in (Ernährungswissenschaften)",4
"735","IT-Koordinator,in",14
"736","Küchenaufsteller,in",2
"737","Sandgewinner,in",4
"738","Versuchstechniker,in",17
"739","Automobilbauer,in",3
"740","Notar,in",8
"741","Landschaftsplaner,in",2
"742","Maschinen- und Anlagenmonteur,in",4
"743","Beton- und Stahlbetonbauer,in",1
"744","Automechaniker,in",1
"745","Journalist,in",1
"746","Elektromaschinenbauer,in",3
"747","Kaufmann,frau Spedition",5
"748","Kaufmann,frau Industrie",6
"749","Bereitschaftspolizist,in",2
"750","Vertriebsassistent,in",17
"751","Tierarzt,ärztin",5
"752","Fertigungsmeister,in",2
"753","Technische,r Betriebswirt,in",8
"754","Weinbautechniker,in",2
"755","Elektromeister,in",9
